UserID,Phase,Time,AF3_Theta,AF3_Alpha,AF3_BetaL,AF3_BetaH,AF3_Gamma,T7_Theta,T7_Alpha,T7_BetaL,T7_BetaH,T7_Gamma,Ellipsis
M28,baseline occhi chiusi,12:47:56,2.514,4.049,6.891,3.734,2.143,3.878,3.109,4.454,3.1,2.721,Ellipsis
M28,baseline occhi chiusi,12:47:56,2.184,3.739,5.57,3.868,2.017,3.327,3.66,4.823,3.116,2.478,Ellipsis
M28,baseline occhi chiusi,12:47:56,2.03,3.471,4.345,3.931,1.849,2.814,4.142,5.099,3.022,2.246,Ellipsis
M28,baseline occhi chiusi,12:47:57,2.059,3.598,3.408,3.924,1.706,2.552,4.518,5.164,2.871,2.116,Ellipsis
M28,baseline occhi chiusi,12:47:57,2.361,4.377,2.791,3.916,1.643,2.659,4.794,4.94,2.771,2.137,Ellipsis
M28,baseline occhi chiusi,12:47:57,2.818,5.765,2.463,4.025,1.67,3.11,4.966,4.475,2.822,2.297,Ellipsis
M28,baseline occhi chiusi,12:47:57,3.362,7.44,2.456,4.353,1.758,3.75,5.011,3.93,3.048,2.52,Ellipsis
M28,baseline occhi chiusi,12:47:57,4.012,8.9,2.823,4.927,1.869,4.278,4.919,3.532,3.383,2.721,Ellipsis
M28,baseline occhi chiusi,12:47:57,4.743,9.635,3.573,5.638,1.994,4.882,4.647,3.457,3.712,2.832,Ellipsis
M28,baseline occhi chiusi,12:47:57,5.606,9.41,4.655,6.287,2.152,5.098,4.178,3.757,3.937,2.84,Ellipsis
M28,baseline occhi chiusi,12:47:57,6.441,8.35,5.847,6.639,2.361,5.762,3.555,4.251,3.998,2.772,Ellipsis
M28,baseline occhi chiusi,12:47:58,7.062,6.825,6.805,6.542,2.605,6.078,2.839,4.606,3.873,2.678,Ellipsis
M28,baseline occhi chiusi,12:47:58,7.34,5.308,7.206,6.008,2.823,6.582,2.141,4.588,3.598,2.586,Ellipsis
M28,baseline occhi chiusi,12:47:58,7.223,4.244,6.958,5.201,2.933,6.575,1.594,4.223,3.268,2.498,Ellipsis
M28,baseline occhi chiusi,12:47:58,6.891,3.87,6.169,4.346,2.871,6.114,1.289,3.779,3.029,2.408,Ellipsis
M28,baseline occhi chiusi,12:47:58,6.723,4.131,5.116,3.617,2.627,5.483,1.292,3.542,2.977,2.311,Ellipsis
M28,baseline occhi chiusi,12:47:58,6.844,4.748,4.089,3.091,2.26,4.592,1.598,3.635,3.112,2.224,Ellipsis
M28,baseline occhi chiusi,12:47:58,7.416,5.336,3.311,2.77,1.882,3.888,2.114,3.971,3.348,2.182,Ellipsis
M28,baseline occhi chiusi,12:47:58,7.992,5.522,2.825,2.644,1.612,3.472,2.674,4.362,3.598,2.219,Ellipsis
M28,baseline occhi chiusi,12:47:59,8.325,5.143,2.622,2.738,1.504,3.457,3.126,4.614,3.843,2.34,Ellipsis
M28,baseline occhi chiusi,12:47:59,8.308,4.413,2.623,3.072,1.538,3.711,3.35,4.582,4.114,2.513,Ellipsis
M28,baseline occhi chiusi,12:47:59,8.388,3.815,2.722,3.605,1.649,4.321,3.418,4.239,4.424,2.687,Ellipsis
M28,baseline occhi chiusi,12:47:59,8.585,3.855,2.824,4.292,1.775,5.566,3.44,3.64,4.737,2.812,Ellipsis
M28,baseline occhi chiusi,12:47:59,9.162,4.607,2.854,5.058,1.866,7.585,3.546,2.911,4.977,2.851,Ellipsis
M28,baseline occhi chiusi,12:47:59,9.869,5.749,2.788,5.776,1.898,10.603,3.803,2.209,5.044,2.786,Ellipsis
